year,month,day,t,nee,gpp,reco,swc,ts,vpd,ta,par,rad,precip
2000,1,1,730486,0.405364,0.023219,0.428583,20.001000,0.520000,0.239683,-21.423000,27.669375,1.129248,4.000000
2000,1,2,730487,0.405353,-0.010684,0.394668,20.069000,0.432000,0.260332,-22.191000,61.379583,2.731572,0.000000
2000,1,3,730488,0.287543,0.133783,0.421326,19.722000,0.335000,0.267208,-21.577000,85.767313,4.153734,0.000000
2000,1,4,730489,0.407108,-0.004944,0.402164,19.541000,0.208000,0.231907,-22.046000,42.931458,2.130858,0.000000
2000,1,5,730490,0.442499,0.145896,0.588395,19.219000,0.132000,0.273720,-18.181000,36.496458,1.855044,2.000000
2000,1,6,730491,0.481250,0.051721,0.532971,NaN,0.115000,0.267562,-19.371000,6.425500,1.882899,0.000000
2000,1,7,730492,0.831820,0.352467,1.184290,NaN,0.068000,0.710992,-7.098000,24.839535,1.881532,0.000000
2000,1,8,730493,0.626647,0.358586,0.985233,18.279000,0.080000,0.260267,-10.620000,26.629583,1.044090,0.000000
2000,1,9,730494,0.509439,0.481716,0.991155,18.529000,0.116000,0.616050,-10.128000,91.639792,4.089582,2.000000
2000,1,10,730495,0.203919,0.237670,0.441589,17.672000,0.157000,0.342676,-20.667000,73.013354,3.364866,0.000000
2000,1,11,730496,0.345418,-0.098457,0.246962,16.746000,0.085000,0.190896,-25.212000,51.928542,2.395368,0.000000
2000,1,12,730497,0.244142,0.078514,0.322656,16.557000,-0.017000,0.284924,-23.230000,96.138750,4.643737,0.000000
2000,1,13,730498,0.258079,0.063790,0.321870,16.039000,-0.122000,0.222923,-22.942000,90.273125,4.540014,0.000000
2000,1,14,730499,0.324043,0.012557,0.336600,15.836000,-0.209000,0.247463,-22.375000,56.878792,2.452068,1.000000
2000,1,15,730500,0.203165,-0.005711,0.197454,16.183000,-0.281000,0.232163,-25.340000,95.009792,4.366368,1.000000
2000,1,16,730501,0.299328,-0.086887,0.212441,15.807000,-0.388000,0.210798,-24.436000,52.057292,2.139480,5.000000
2000,1,17,730502,0.282212,0.085118,0.367330,15.176000,-0.418000,0.301099,-17.991000,66.400417,2.817720,1.000000
2000,1,18,730503,0.296295,-0.024966,0.271329,15.328000,-0.399000,0.344753,-19.876000,99.785229,4.625550,0.000000
2000,1,19,730504,0.338304,-0.118757,0.219547,NaN,-0.480000,0.319009,-20.611000,92.355652,5.178914,0.000000
2000,1,20,730505,0.309952,-0.161290,0.148662,15.252000,-0.576000,0.223278,-22.537000,78.856458,3.689331,0.000000
2000,1,21,730506,0.310740,-0.127317,0.183423,15.029000,-0.642000,0.271551,-18.680000,51.629362,2.378985,1.000000
2000,1,22,730507,0.268077,-0.074143,0.193933,14.993000,-0.609000,0.394278,-16.016000,72.826667,3.208518,1.000000
2000,1,23,730508,0.249326,-0.006557,0.242769,NaN,-0.595000,0.570026,-11.885000,91.238958,4.113839,0.000000
2000,1,24,730509,0.357104,0.004582,0.361686,14.933000,-0.506000,0.795352,-7.188000,65.780208,2.836008,0.000000
2000,1,25,730510,0.535656,-0.184453,0.351203,14.968000,-0.453000,0.633534,-11.396000,127.610208,5.779909,0.000000
2000,1,26,730511,0.390265,-0.021467,0.368798,NaN,-0.526000,0.437109,-13.199000,38.023953,3.076647,0.000000
2000,1,27,730512,0.456813,0.035291,0.492104,14.948000,-0.590000,0.827547,-10.032000,131.590833,5.793102,0.000000
2000,1,28,730513,0.580431,-0.015077,0.565354,14.939000,-0.605000,1.393032,-6.993000,132.924604,5.957298,0.000000
2000,1,29,730514,0.476530,0.133961,0.610490,14.939000,-0.542000,2.305734,-3.245000,137.132313,6.036750,0.000000
2000,1,30,730515,0.540455,0.033668,0.574123,14.947000,-0.468000,3.349809,-2.280000,120.143958,5.347278,0.000000
2000,1,31,730516,0.481603,-0.074481,0.407122,14.959000,-0.423000,0.534764,-8.656000,103.341250,5.164956,0.000000
2000,2,1,730517,0.403853,-0.030670,0.373183,14.951000,-0.458000,0.468470,-9.203000,79.266667,4.042064,0.000000
2000,2,2,730518,0.471532,-0.041034,0.430498,14.946000,-0.477000,1.987944,-6.450000,132.632083,5.895270,0.000000
2000,2,3,730519,0.454754,-0.022373,0.432381,14.949000,-0.405000,1.795826,-7.189000,153.281271,6.999535,0.000000
2000,2,4,730520,0.561862,-0.119703,0.442160,14.938000,-0.427000,1.863731,-7.484000,155.509167,7.159806,0.000000
2000,2,5,730521,0.397309,0.029362,0.426671,NaN,-0.458000,0.607507,-10.470000,156.026250,7.399342,0.000000
2000,2,6,730522,0.381782,0.120594,0.502375,14.941000,-0.552000,0.775773,-10.363000,165.745833,7.687422,0.000000
2000,2,7,730523,0.568993,-0.023045,0.545948,14.900000,-0.641000,0.677233,-11.059000,154.067083,6.860772,0.000000
2000,2,8,730524,0.370128,0.213482,0.583610,14.819000,-0.593000,1.498096,-8.830000,79.227708,3.265146,0.000000
2000,2,9,730525,0.324015,-0.001217,0.322798,14.730000,-0.606000,0.697486,-17.217000,131.384167,5.919714,0.000000
2000,2,10,730526,0.358264,-0.077040,0.281224,14.678000,-0.997000,0.741906,-17.553000,178.075625,8.424810,0.000000
2000,2,11,730527,0.263163,0.028084,0.291248,14.642000,-1.195000,0.795545,-15.461000,177.143979,8.437824,0.000000
2000,2,12,730528,0.354533,-0.113492,0.241041,14.586000,-1.297000,0.437565,-16.281000,184.467500,8.720695,0.000000
2000,2,13,730529,0.348495,-0.166284,0.182211,NaN,-1.458000,0.272531,-17.917000,151.258750,6.978991,0.000000
2000,2,14,730530,0.358577,-0.161601,0.196976,14.547000,-1.413000,0.650944,-14.392000,143.616250,6.503238,0.000000
2000,2,15,730531,0.233901,-0.110644,0.123257,14.499000,-1.366000,0.731286,-18.375000,176.631458,7.940934,0.000000
2000,2,16,730532,0.258269,-0.154850,0.103419,14.493000,-1.761000,0.529519,-20.268000,205.390000,9.570475,0.000000
2000,2,17,730533,0.420601,-0.232858,0.187743,NaN,-1.785000,0.793920,-12.789000,205.155208,9.513041,0.000000
2000,2,18,730534,0.420441,-0.181223,0.239219,14.404000,-1.531000,0.848765,-8.660000,165.612292,7.203726,0.000000
2000,2,19,730535,0.435419,-0.173513,0.261905,14.397000,-1.369000,1.300896,-7.179000,217.590000,9.443665,0.000000
2000,2,20,730536,0.465015,-0.150983,0.314032,14.529000,-1.166000,2.656243,-3.180000,224.463354,9.914850,0.000000
2000,2,21,730537,0.555877,-0.236772,0.319105,14.510000,-1.015000,2.167202,-3.338000,219.540417,9.663138,0.000000
2000,2,22,730538,0.508284,-0.128502,0.379783,14.610000,-0.908000,3.915300,1.307000,236.250208,10.547136,0.000000
2000,2,23,730539,0.419856,-0.050857,0.368999,14.604000,-0.738000,1.692567,-0.326000,209.907292,8.879905,0.000000
2000,2,24,730540,0.437635,-0.031344,0.406291,14.615000,-0.607000,0.326187,0.821000,64.125625,2.462202,3.000000
2000,2,25,730541,0.629828,-0.156276,0.473552,14.689000,-0.451000,1.549733,1.786000,192.723333,8.577396,0.000000
2000,2,26,730542,0.557557,-0.038544,0.519013,14.802000,-0.323000,3.617560,1.033000,253.288958,11.359350,0.000000
2000,2,27,730543,0.844864,-0.313695,0.531169,14.865000,-0.285000,2.597235,-1.403000,247.862917,11.100060,0.000000
2000,2,28,730544,0.572748,-0.019369,0.553380,14.951000,-0.334000,0.226134,-2.709000,61.112708,2.369016,8.000000
2000,2,29,730545,0.539931,0.059102,0.599034,14.972000,-0.335000,1.283005,-2.570000,256.422917,11.322702,0.000000
2000,3,1,730546,0.603332,0.001898,0.605230,15.077000,-0.343000,1.010137,-4.247000,203.139583,8.642934,0.000000
2000,3,2,730547,0.695386,0.042585,0.737971,15.245000,-0.390000,1.202375,-0.672000,228.081063,9.684684,1.000000
2000,3,3,730548,0.707764,0.194870,0.902634,15.533000,-0.352000,3.366064,3.828000,269.345625,11.768364,0.000000
2000,3,4,730549,0.704470,0.231617,0.936087,15.678000,-0.250000,3.134800,2.827000,278.245625,11.973205,0.000000
2000,3,5,730550,0.933041,0.092988,1.026030,15.925000,-0.195000,4.487662,3.768000,130.535854,5.217498,0.000000
2000,3,6,730551,0.744904,0.235557,0.980461,15.974000,-0.160000,2.947930,-0.905000,99.126042,3.841254,0.000000
2000,3,7,730552,0.819875,0.053925,0.873801,15.778000,-0.134000,0.361131,-6.880000,93.896042,4.036735,2.000000
2000,3,8,730553,0.774664,-0.290265,0.484399,15.667000,-0.123000,0.649958,-16.960000,314.385417,14.474016,0.000000
2000,3,9,730554,0.562293,-0.047990,0.514303,15.588000,-0.330000,0.738425,-14.166000,236.297500,10.153278,0.000000
2000,3,10,730555,0.532104,0.031992,0.564096,15.570000,-0.517000,0.929268,-10.093000,283.703333,12.685753,1.000000
2000,3,11,730556,0.593856,-0.143947,0.449908,15.373000,-0.685000,1.266708,-12.125000,318.392708,14.356692,0.000000
2000,3,12,730557,0.545909,-0.073512,0.472397,15.381000,-0.849000,0.939589,-10.967000,237.063750,10.414998,0.000000
2000,3,13,730558,0.552421,-0.074364,0.478057,15.408000,-0.867000,1.506779,-10.576000,343.706042,15.830173,0.000000
2000,3,14,730559,0.556310,-0.179419,0.376891,15.456000,-1.116000,1.036114,-14.478000,345.724375,15.989112,0.000000
2000,3,15,730560,0.504461,-0.067895,0.436566,15.537000,-1.420000,1.117382,-11.902000,351.171250,16.182774,0.000000
2000,3,16,730561,0.363133,0.139701,0.502834,15.900000,-1.507000,0.859433,-9.013000,313.540000,14.119634,0.000000
2000,3,17,730562,0.569706,0.081421,0.651127,16.752000,-1.343000,1.596893,-2.466000,296.371458,12.918546,4.000000
2000,3,18,730563,0.656625,-0.013611,0.643014,17.049000,-0.903000,2.875178,-3.024000,370.297292,16.283573,0.000000
2000,3,19,730564,0.683094,0.018002,0.701096,17.920000,-0.557000,1.085375,-2.204000,128.215208,5.144382,2.000000
2000,3,20,730565,0.868909,-0.121828,0.747081,19.194000,-0.323000,1.102052,-2.104000,181.881458,7.595100,1.000000
2000,3,21,730566,0.729165,0.087695,0.816861,19.755000,-0.239000,1.676412,-1.105000,246.715833,10.398978,0.000000
2000,3,22,730567,0.865992,0.098368,0.964360,20.478000,-0.209000,2.988981,2.730000,367.450208,15.980094,0.000000
2000,3,23,730568,0.897480,0.141787,1.039270,21.729000,-0.175000,3.068114,3.782000,258.801875,10.576314,2.000000
2000,3,24,730569,1.042850,-0.013121,1.029730,23.393000,-0.077000,2.529347,1.977000,263.326875,11.314333,1.000000
2000,3,25,730570,1.145160,-0.112015,1.033140,24.983000,0.009000,3.263921,1.189000,284.665000,12.203784,0.000000
2000,3,26,730571,1.037490,0.103380,1.140870,25.969000,0.006000,4.311102,3.734000,394.525417,17.447468,0.000000
2000,3,27,730572,0.990263,0.140785,1.131050,27.060000,0.013000,2.585626,2.067000,386.527083,17.006292,0.000000
2000,3,28,730573,0.939076,0.229666,1.168740,28.512000,0.015000,2.504734,1.794000,368.422917,15.937362,0.000000
2000,3,29,730574,0.942813,0.284149,1.226960,29.928000,0.018000,0.832541,2.092000,145.425437,5.653494,2.000000
2000,3,30,730575,1.043350,0.193177,1.236520,30.246000,0.016000,2.585639,1.100000,344.103333,15.321906,3.000000
2000,3,31,730576,1.064890,0.159432,1.224320,30.282000,0.024000,3.250559,-0.367000,261.608750,11.318149,0.000000
2000,4,1,730577,0.982000,0.191859,1.173860,31.189000,0.028000,0.967903,-2.644000,86.400000,3.436542,13.000000
2000,4,2,730578,0.921495,0.323707,1.245200,NaN,0.023000,0.895141,-1.912000,336.553979,15.088013,2.000000
2000,4,3,730579,0.931549,0.296448,1.228000,31.413000,0.026000,3.659797,-3.222000,400.688958,17.830404,0.000000
2000,4,4,730580,0.880187,0.604118,1.484300,30.485000,0.023000,2.158927,1.602000,278.654396,11.930597,2.000000
2000,4,5,730581,1.094550,0.171232,1.265780,31.112000,0.022000,2.259302,-4.058000,453.420021,20.835884,1.000000
2000,4,6,730582,0.795813,0.314725,1.110540,30.551000,0.042000,0.723268,-7.897000,160.078542,6.379218,4.000000
2000,4,7,730583,0.945416,0.305551,1.250970,30.496000,0.038000,1.271899,-5.866000,279.367708,11.994894,1.000000
2000,4,8,730584,0.890209,0.441290,1.331500,29.671000,0.032000,0.878427,-5.065000,234.574792,9.950725,2.000000
2000,4,9,730585,0.836208,0.529720,1.365930,29.167000,0.042000,1.562961,-5.201000,169.565229,6.944688,0.000000
2000,4,10,730586,0.871565,0.608601,1.480170,28.851000,0.037000,1.991059,-4.066000,301.816875,13.277756,0.000000
2000,4,11,730587,0.895568,0.579504,1.475070,28.036000,0.042000,3.440240,-5.199000,492.673542,22.544207,0.000000
2000,4,12,730588,0.737156,0.900427,1.637580,27.816000,0.049000,1.488565,-4.599000,280.763562,11.990213,1.000000
2000,4,13,730589,0.738003,0.791835,1.529840,27.839000,0.056000,1.332805,-7.328000,505.533958,23.560596,0.000000
2000,4,14,730590,1.011380,0.702075,1.713450,27.450000,0.042000,1.907184,-4.068000,500.849604,23.164616,0.000000
2000,4,15,730591,0.891751,1.210640,2.102390,27.494000,0.016000,2.163267,2.653000,405.019583,18.083160,0.000000
2000,4,16,730592,0.783065,0.100253,0.883318,26.620000,0.021000,1.357170,-0.481000,146.474167,5.774220,0.000000
2000,4,17,730593,1.004020,1.054260,2.058280,27.121000,0.021000,2.145152,3.671000,306.923750,13.213287,1.000000
2000,4,18,730594,1.198590,0.862094,2.060680,29.317000,0.021000,4.258494,4.621000,501.600417,22.835287,0.000000
2000,4,19,730595,1.240980,0.794219,2.035200,29.619000,0.015000,7.612823,5.155000,499.197917,22.096657,0.000000
2000,4,20,730596,1.925120,0.394085,2.319210,30.916000,0.007000,12.767709,12.294000,538.800417,23.972904,0.000000
2000,4,21,730597,1.648370,0.421424,2.069800,31.822000,0.011000,7.627216,8.132000,422.869375,18.577763,0.000000
2000,4,22,730598,1.689950,0.427692,2.117640,31.654000,0.049000,7.891593,11.143000,530.298750,23.510918,0.000000
2000,4,23,730599,1.726420,0.281816,2.008230,31.899000,1.358000,5.219062,10.398000,245.641458,10.074240,0.000000
2000,4,24,730600,1.711620,0.088675,1.800290,32.310000,2.982000,2.930208,7.156000,359.760208,15.233238,0.000000
2000,4,25,730601,1.708030,-0.034050,1.673980,31.704000,2.927000,2.699889,5.743000,303.770021,12.990438,0.000000
2000,4,26,730602,1.539950,0.111262,1.651210,31.612000,3.214000,3.438909,6.496000,405.766875,17.762886,1.000000
2000,4,27,730603,1.422250,0.273454,1.695710,31.434000,3.705000,5.057613,6.966000,567.306042,25.904789,0.000000
2000,4,28,730604,1.340570,0.425312,1.765880,31.066000,4.015000,6.031193,7.901000,498.370833,22.068216,0.000000
2000,4,29,730605,1.786230,0.167200,1.953430,31.276000,4.653000,3.707198,9.100000,132.277500,5.375916,5.000000
2000,4,30,730606,2.324400,-0.046741,2.277660,31.136000,4.778000,10.258790,11.625000,584.322917,26.619102,0.000000
2000,5,1,730607,2.310650,0.292801,2.603450,30.602000,5.652000,11.251092,13.876000,471.224583,20.553175,1.000000
2000,5,2,730608,2.118220,0.611226,2.729440,30.541000,6.041000,6.321239,12.047000,352.171667,15.037128,0.000000
2000,5,3,730609,2.325060,0.470166,2.795220,30.323000,6.578000,5.914472,12.454000,411.014167,17.941589,0.000000
2000,5,4,730610,2.571480,0.190648,2.762130,30.314000,7.080000,9.255692,13.674000,515.917500,23.105434,0.000000
2000,5,5,730611,2.374440,0.147143,2.521580,30.135000,6.510000,9.703873,11.147000,590.897292,27.114285,0.000000
2000,5,6,730612,1.793590,0.646931,2.440520,30.138000,6.318000,8.082417,11.596000,368.676875,16.265755,0.000000
2000,5,7,730613,1.444870,0.593963,2.038830,29.841000,5.758000,1.281178,5.475000,142.923750,5.766732,0.000000
2000,5,8,730614,1.104660,0.809730,1.914390,29.721000,5.529000,2.421998,4.973000,330.333333,14.302836,0.000000
2000,5,9,730615,1.163910,0.614700,1.778610,29.571000,5.374000,3.278068,5.209000,485.765833,22.097149,0.000000
2000,5,10,730616,0.855125,0.684375,1.539500,29.471000,5.047000,2.210377,2.324000,344.964792,14.829391,0.000000
2000,5,11,730617,0.996365,0.604078,1.600440,29.387000,4.911000,3.187799,2.551000,530.103750,23.811983,0.000000
2000,5,12,730618,1.336830,0.514402,1.851240,29.220000,4.586000,4.368735,6.417000,551.476042,24.637751,0.000000
2000,5,13,730619,1.159330,0.826273,1.985610,29.343000,4.899000,6.301094,7.600000,476.935000,21.533865,0.000000
2000,5,14,730620,1.144030,0.810434,1.954460,29.201000,4.825000,5.906278,5.246000,589.336667,27.254467,0.000000
2000,5,15,730621,1.391220,0.802795,2.194020,29.372000,5.023000,5.432899,7.712000,314.765208,13.375027,0.000000
2000,5,16,730622,1.438260,0.901300,2.339560,29.369000,5.634000,4.517081,6.797000,590.097521,26.462008,0.000000
2000,5,17,730623,1.105300,1.284640,2.389940,29.150000,4.870000,2.263605,2.369000,295.328354,12.291264,0.000000
2000,5,18,730624,1.646190,1.521620,3.167810,29.313000,5.423000,4.621064,8.744000,428.697083,18.652897,1.000000
2000,5,19,730625,2.305500,1.624060,3.929560,29.080000,6.615000,10.784575,14.816000,506.517917,22.704355,2.000000
2000,5,20,730626,1.707320,2.481370,4.188690,29.224000,7.240000,9.575243,13.937000,404.087083,17.594372,0.000000
2000,5,21,730627,1.311720,3.094670,4.406390,29.184000,7.219000,9.403640,12.700000,513.858333,22.634712,2.000000
2000,5,22,730628,2.093770,2.412300,4.506070,30.271000,7.363000,4.448351,10.407000,297.178354,12.920310,9.000000
2000,5,23,730629,0.967519,3.805970,4.773490,30.153000,7.333000,6.064276,10.082000,527.161042,23.381659,0.000000
2000,5,24,730630,0.583739,4.372450,4.956190,30.101000,7.331000,4.414260,9.068000,355.994188,15.453307,1.000000
2000,5,25,730631,-0.383880,5.353250,4.969370,30.695000,7.174000,3.278319,8.881000,368.330438,16.024752,1.000000
2000,5,26,730632,0.387219,4.655690,5.042910,30.107000,7.561000,4.816872,11.163000,547.598750,24.090948,0.000000
2000,5,27,730633,0.957237,4.011620,4.968860,31.455000,8.472000,1.859657,10.802000,281.072292,12.238177,24.000000
2000,5,28,730634,1.202890,3.480670,4.683550,31.796000,7.762000,0.826708,7.270000,134.850833,5.549832,9.000000
2000,5,29,730635,-1.213860,6.047010,4.833150,30.454000,7.302000,5.351730,7.840000,662.387872,30.033659,1.000000
2000,5,30,730636,-1.200570,6.344060,5.143490,30.315000,6.649000,2.672251,9.679000,416.424604,18.153488,0.000000
2000,5,31,730637,-2.016110,7.424110,5.408000,29.872000,6.760000,6.398029,10.746000,527.823958,23.561768,0.000000
2000,6,1,730638,-2.473820,8.012720,5.538900,NaN,7.324000,10.792352,10.617000,618.600222,30.002266,0.000000
2000,6,2,730639,-2.635400,8.262210,5.626810,NaN,7.817000,9.030555,10.156000,557.134255,24.804087,0.000000
2000,6,3,730640,-2.559920,8.596730,6.036810,28.863000,8.005000,7.371232,12.388000,534.829792,23.574600,1.000000
2000,6,4,730641,-2.837790,8.977490,6.139700,28.691000,8.702000,13.754341,11.990000,613.277021,27.303806,0.000000
2000,6,5,730642,-3.719120,10.133600,6.414430,28.631000,9.302000,10.905994,13.125000,549.842708,24.167358,0.000000
2000,6,6,730643,-5.430960,11.076800,5.645790,28.891000,8.595000,3.598862,9.139000,313.491667,13.389363,0.000000
2000,6,7,730644,-6.372930,11.415700,5.042760,28.665000,8.260000,2.907777,9.088000,409.326667,17.774729,0.000000
2000,6,8,730645,-4.154740,8.337520,4.182790,28.865000,7.716000,2.000295,6.426000,211.972708,8.933544,0.000000
2000,6,9,730646,-1.276140,4.891470,3.615330,28.677000,7.254000,1.887295,6.419000,139.713542,5.671476,0.000000
2000,6,10,730647,-1.615950,4.699010,3.083050,29.986000,6.652000,0.680637,4.384000,131.330833,5.285178,19.000000
2000,6,11,730648,-1.130550,4.328600,3.198050,30.452000,6.315000,0.244923,4.879000,104.767313,4.243464,14.000000
2000,6,12,730649,-6.110710,9.747080,3.636360,29.419000,6.939000,2.279992,9.212000,373.035417,16.230043,0.000000
2000,6,13,730650,-5.615520,9.431630,3.816110,29.441000,7.492000,3.494160,10.266000,329.542729,14.062897,0.000000
2000,6,14,730651,-3.905460,7.785350,3.879900,29.845000,8.095000,3.324794,9.886000,358.492292,15.310350,3.000000
2000,6,15,730652,-4.236230,8.108710,3.872480,30.393000,8.195000,2.644480,8.671000,378.187083,16.329638,2.000000
2000,6,16,730653,-7.170950,11.229000,4.058010,NaN,8.037000,5.698885,9.736000,560.953638,24.982956,1.000000
2000,6,17,730654,-5.827130,10.019400,4.192240,30.343000,8.279000,9.321695,10.174000,472.479149,22.300587,0.000000
2000,6,18,730655,-5.402630,9.841640,4.439010,29.724000,8.840000,10.818917,11.884000,701.058298,30.938236,0.000000
2000,6,19,730656,-1.669850,6.317070,4.647220,NaN,9.197000,7.497106,13.045000,259.118655,15.948306,9.105000
2000,6,20,730657,-1.853140,6.571960,4.718830,NaN,9.872812,NaN,NaN,NaN,NaN,29.012000
2000,6,21,730658,-4.741560,9.843570,5.102010,NaN,10.524479,NaN,NaN,NaN,NaN,2.601000
2000,6,22,730659,-4.946340,10.276800,5.330480,NaN,10.619479,NaN,NaN,NaN,NaN,0.000000
2000,6,23,730660,-6.779680,12.132400,5.352740,NaN,10.243646,NaN,NaN,NaN,NaN,0.101000
2000,6,24,730661,-6.685730,12.040900,5.355180,NaN,9.917083,NaN,NaN,NaN,NaN,0.100000
2000,6,25,730662,-5.828910,11.089800,5.260910,NaN,9.806875,NaN,NaN,NaN,NaN,3.706000
2000,6,26,730663,-7.756420,13.113900,5.357490,NaN,9.561459,NaN,NaN,NaN,NaN,1.403000
2000,6,27,730664,-6.273460,11.999200,5.725790,NaN,10.136042,NaN,NaN,NaN,NaN,0.601000
2000,6,28,730665,-5.510870,11.643000,6.132090,NaN,11.140000,NaN,18.652000,NaN,NaN,0.000000
2000,6,29,730666,-5.007170,11.455500,6.448290,27.148000,11.383000,13.829758,20.671000,572.160625,25.134335,1.000000
2000,6,30,730667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,7,1,730668,-2.999680,9.061600,6.061920,NaN,11.614273,NaN,NaN,NaN,NaN,0.802000
2000,7,2,730669,-7.597160,13.504300,5.907120,27.521000,10.852000,3.782090,13.004000,389.324583,16.626583,0.000000
2000,7,3,730670,-7.304460,13.532500,6.228000,28.178000,11.092000,4.043160,15.818000,432.124375,18.606512,0.000000
2000,7,4,730671,-0.127335,6.159720,6.032390,30.105000,11.153000,2.381579,14.705000,149.958333,6.435888,16.000000
2000,7,5,730672,-6.886660,13.255400,6.368790,29.232000,11.405000,7.236442,16.814000,625.616458,27.529356,2.000000
2000,7,6,730673,-4.627060,10.970500,6.343470,NaN,11.721334,NaN,NaN,NaN,NaN,4.903000
2000,7,7,730674,-5.307690,11.880700,6.572970,NaN,12.021000,NaN,16.060000,NaN,NaN,8.102000
2000,7,8,730675,-5.944110,12.853200,6.909080,29.964000,12.207000,5.016640,17.782000,458.915957,21.167995,1.000000
2000,7,9,730676,-7.589060,14.721700,7.132610,29.439000,12.612000,5.208869,18.438000,503.317083,21.445093,3.000000
2000,7,10,730677,-0.714839,7.714570,6.999740,30.744000,12.670000,1.703077,16.059000,182.090000,7.592112,11.000000
2000,7,11,730678,-5.699560,12.621500,6.921950,31.190000,12.619000,2.528295,15.714000,415.423617,17.909986,4.000000
2000,7,12,730679,-7.941690,14.960100,7.018380,30.099000,12.774000,6.815183,18.372000,585.658085,25.255987,1.000000
2000,7,13,730680,-7.847800,15.116300,7.268480,28.897000,13.449000,12.790111,22.576000,680.092553,29.235825,0.000000
2000,7,14,730681,-8.077490,15.179900,7.102400,28.775000,14.107000,12.755422,23.474000,659.224681,28.445496,0.000000
2000,7,15,730682,-2.843430,8.833570,5.990140,29.542000,13.806000,3.419887,15.727000,298.555625,12.609720,4.000000
2000,7,16,730683,-4.871590,10.378700,5.507120,29.955000,12.447000,2.284533,14.899000,315.567292,13.552326,1.000000
2000,7,17,730684,-3.206720,7.580460,4.373730,31.777000,10.878000,1.576022,7.254000,209.629375,8.682282,13.000000
2000,7,18,730685,-1.749430,6.175910,4.426470,32.202000,10.188000,0.422983,7.753000,148.455625,6.257484,7.000000
2000,7,19,730686,-4.733320,9.720140,4.986820,30.473000,10.408000,2.639713,12.003000,311.937708,13.380696,0.000000
2000,7,20,730687,-6.733110,12.272500,5.539360,28.988000,10.918000,5.383411,16.205000,505.204583,21.998699,0.000000
2000,7,21,730688,-5.838820,11.379800,5.540980,28.778000,11.379000,4.016256,14.694000,452.525646,19.147123,0.000000
2000,7,22,730689,-5.051140,10.951600,5.900490,28.497000,12.414000,11.269191,16.745000,653.743750,28.374920,0.000000
2000,7,23,730690,-4.594420,10.905100,6.310660,NaN,13.524949,NaN,NaN,NaN,NaN,0.804000
2000,7,24,730691,-3.621302,11.461247,7.839945,NaN,14.151355,NaN,NaN,NaN,NaN,35.003000
2000,7,25,730692,-4.756793,12.640450,7.883657,NaN,14.353663,NaN,NaN,NaN,NaN,0.000000
2000,7,26,730693,-5.758070,12.526900,6.768870,26.195000,14.263000,6.497837,18.795000,527.451042,22.701097,0.000000
2000,7,27,730694,-4.658980,11.535000,6.876010,25.896000,14.600000,5.989424,18.301000,483.053333,20.629242,0.000000
2000,7,28,730695,-3.945150,11.363200,7.418050,NaN,15.294360,NaN,NaN,NaN,NaN,0.000000
2000,7,29,730696,-4.316990,11.776000,7.459040,NaN,14.790000,NaN,21.031000,NaN,NaN,1.000000
2000,7,30,730697,-5.382390,12.784600,7.402160,24.260000,14.608000,11.532105,19.337000,594.658750,25.615734,0.000000
2000,7,31,730698,-4.752590,12.291900,7.539340,23.942000,14.347000,11.631942,19.467000,550.560208,23.718258,0.000000
2000,8,1,730699,-5.666840,13.089600,7.422800,25.030000,14.141000,7.039219,17.764000,465.957708,19.941050,0.000000
2000,8,2,730700,-2.989210,10.384600,7.395410,25.873000,14.177000,3.710509,17.070000,336.850213,13.845942,35.000000
2000,8,3,730701,-4.196540,11.598300,7.401720,26.390000,14.330000,3.287312,16.813000,435.913958,18.621000,1.000000
2000,8,4,730702,-5.518170,13.009100,7.490930,25.859000,14.204000,5.246041,17.389000,541.464583,23.309135,1.000000
2000,8,5,730703,-0.730335,8.108360,7.378020,25.846000,13.995000,4.937378,17.102000,278.743125,11.913318,3.000000
2000,8,6,730704,-5.568000,12.901900,7.333860,26.500000,13.802000,5.860711,17.958000,541.240625,23.156965,1.000000
2000,8,7,730705,3.396810,3.501080,6.897890,27.646000,13.985000,0.834351,15.438000,98.433750,3.952962,13.000000
2000,8,8,730706,-4.365020,11.166200,6.801190,27.644000,13.842000,4.385581,15.843000,469.789375,20.493935,1.000000
2000,8,9,730707,-5.102460,11.802300,6.699840,27.996000,13.569000,7.522938,15.984000,589.041042,25.542721,0.000000
2000,8,10,730708,-3.648680,10.253800,6.605110,28.238000,13.810000,5.882248,15.530000,488.587500,20.970415,0.000000
2000,8,11,730709,4.299860,2.149170,6.449030,NaN,14.040276,NaN,NaN,NaN,NaN,28.209000
2000,8,12,730710,-4.356100,10.509800,6.153750,NaN,13.005000,NaN,13.709000,NaN,NaN,0.801000
2000,8,13,730711,-3.159070,9.097350,5.938270,28.924000,12.722000,4.126046,13.067000,298.376875,12.805938,0.000000
2000,8,14,730712,-4.019760,9.673830,5.654070,28.593000,12.452000,3.643419,11.755000,421.690625,18.465227,2.000000
2000,8,15,730713,-4.734300,10.544000,5.809670,27.798000,12.273000,7.524420,14.539000,553.677500,24.122196,0.000000
2000,8,16,730714,0.532510,4.957190,5.489700,28.337000,12.517000,1.687689,12.762000,132.288750,5.480874,1.000000
